iter	Passed	Remaining
0	2	2906
1	3	1874
2	4	1516
3	5	1338
4	6	1238
5	7	1165
6	7	1113
7	8	1068
8	9	1033
9	10	1007
10	10	985
11	11	968
12	12	956
13	13	944
14	14	937
15	15	960
16	16	980
17	17	975
18	18	968
19	19	960
20	20	957
21	21	964
22	22	964
23	23	956
24	24	946
25	25	940
26	25	933
27	26	926
28	27	920
29	28	915
30	29	910
31	31	942
32	32	946
33	33	941
34	33	936
35	34	932
36	35	927
37	36	925
38	37	921
39	38	918
40	39	915
41	39	910
42	40	907
43	41	903
44	42	898
45	43	894
46	43	890
47	45	909
48	46	911
49	47	908
50	48	905
51	49	901
52	50	898
53	51	895
54	51	892
55	52	889
56	53	885
57	54	882
58	55	880
59	56	877
60	56	874
61	57	872
62	58	870
63	60	889
64	62	894
65	63	891
66	63	888
67	64	885
68	65	882
69	66	881
70	67	881
71	68	878
72	68	875
73	69	872
74	70	870
75	71	868
76	72	874
77	73	874
78	75	882
79	76	880
80	77	877
81	78	875
82	78	868
83	79	865
84	80	862
85	81	861
86	81	859
87	82	858
88	83	856
89	85	868
90	86	867
91	87	865
92	88	862
93	90	868
94	91	866
95	91	864
96	93	867
97	94	868
98	95	866
99	96	865
100	96	862
101	97	860
102	98	857
103	99	854
104	100	852
105	100	850
106	101	848
107	102	845
108	103	844
109	104	847
110	105	845
111	106	845
112	107	843
113	108	841
114	109	840
115	110	840
116	111	837
117	111	835
118	112	833
119	113	831
120	114	829
121	114	826
122	115	824
123	116	821
124	117	819
125	118	819
126	118	817
127	120	817
128	120	816
129	121	815
130	122	815
131	123	813
132	124	812
133	125	810
134	126	808
135	127	808
136	127	806
137	128	804
138	129	802
139	130	800
140	131	799
141	131	795
142	132	794
143	133	795
144	134	795
145	135	795
146	136	793
147	137	792
148	138	790
149	139	789
150	140	790
151	142	795
152	144	797
153	145	797
154	145	795
155	146	793
156	147	791
157	148	791
158	149	792
159	150	791
160	151	788
161	152	788
162	153	788
163	154	788
164	155	788
165	156	786
166	157	785
167	158	783
168	158	781
169	159	780
170	160	780
171	161	779
172	164	787
173	166	789
